fund_id,fund_name,fund_nickname,company,rakuten_category,asset_type,region,region_japan_pct,region_us_pct,region_em_pct,is_index,is_leveraged,is_currency_select,has_currency_hedge,is_monthly_payout,payout_type,expense_ratio,aum_oku_yen,operation_years,fund_score_1y,fund_score_3y,fund_score_5y,fund_score_10y,return_6m,return_1y,return_3y,return_5y,return_10y,return_inception,sharpe_1y,sharpe_3y,sharpe_5y,sharpe_10y,stddev_1y,stddev_3y,stddev_5y,stddev_10y,is_nisa_growth_eligible,data_updated_at,philosophy_tags
JP90C000H1T1,eMAXISSlim全世界株式(ｵｰﾙ･ｶﾝﾄﾘｰ),オルカン,三菱UFJｱｾｯﾄ,先進国・新興国株式（広域）-為替ヘッジ無し,株式,world,0.06,0.62,0.11,False,False,False,False,False,none,0.05775,114519.69,7.0,3,4,5,,21.0,40.94,25.41,19.05,,17.61,2.99,1.6,1.17,,11.51,14.66,15.82,,True,2026-05-08,global_diversified|high_risk
JP90C000GKC6,eMAXISSlim米国株式(S&amp;P500),,三菱UFJｱｾｯﾄ,米国株式-為替ヘッジ無し,株式,us,0.0,1.0,0.0,False,False,False,False,False,none,0.0814,113200.36,7.0,3,4,5,,17.27,39.86,26.87,21.25,,19.2,2.61,1.53,1.19,,12.96,16.21,17.3,,True,2026-05-08,high_risk|us_centric
JP90C000Q2W2,楽天･ﾌﾟﾗｽ･ｵｰﾙｶﾝﾄﾘｰ株式ｲﾝﾃﾞｯｸｽ･ﾌｧﾝﾄﾞ,楽天・プラス・オールカントリー,楽天,先進国・新興国株式（広域）-為替ヘッジ無し,株式,world,0.06,0.62,0.11,False,False,False,False,False,none,0.0561,8189.9,1.5,3,,,,21.03,40.93,,,,26.23,2.99,,,,11.52,,,,True,2026-05-08,medium_risk
JP90C000QF22,楽天･ﾌﾟﾗｽ･NASDAQ-100ｲﾝﾃﾞｯｸｽ･ﾌｧﾝﾄﾞ,楽天・プラス・NASDAQ-100,楽天,米国株式-為替ヘッジ無し,株式,us,0.0,1.0,0.0,True,False,False,False,False,none,0.198,2094.76,1.5,4,,,,18.74,49.89,,,,24.28,2.57,,,,16.06,,,,True,2026-05-08,medium_risk|passive_index|tech_heavy|us_centric
JP90C000Q2U6,楽天･ﾌﾟﾗｽ･S&amp;P500ｲﾝﾃﾞｯｸｽ･ﾌｧﾝﾄﾞ,楽天・プラス・Ｓ＆Ｐ５００,楽天,米国株式-為替ヘッジ無し,株式,world,0.06,0.62,0.11,False,False,False,False,False,none,0.077,10173.58,1.5,3,,,,17.26,39.86,,,,26.71,2.61,,,,12.96,,,,True,2026-05-08,medium_risk
JP90C000ENA9,eMAXISSlim国内株式(TOPIX),,三菱UFJｱｾｯﾄ,国内株式,株式,japan,1.0,0.0,0.0,True,False,False,False,False,none,0.143,6719.0,7.0,2,3,4,,27.98,41.74,24.3,16.68,,12.37,2.57,1.37,1.04,,13.73,16.65,15.93,,True,2026-05-08,high_risk|japan_centric|passive_index
JP90C000FZD4,iFreeNEXTFANG+インデックス,,大和,米国株式-為替ヘッジ無し,株式,us,0.0,1.0,0.0,True,False,False,False,False,none,0.7755,11843.54,7.0,3,5,4,,-4.43,37.24,44.05,28.16,,31.04,1.56,1.52,1.01,,21.31,26.03,28.43,,True,2026-05-08,passive_index|tech_heavy|us_centric|very_high_risk
JP90C000FHD2,楽天・全米株式インデックス・ファンド,楽天・VTI,楽天,米国株式-為替ヘッジ無し,株式,us,0.0,1.0,0.0,True,False,False,False,False,none,0.162,24643.37,7.0,3,5,5,,17.95,40.13,26.45,19.92,,17.97,2.62,1.51,1.11,,13.01,16.26,17.64,,True,2026-05-08,high_risk|passive_index|us_centric
JP90C000FXV1,ｅＭＡＸＩＳＳｌｉｍ国内株式（日経平均）,,三菱UFJｱｾｯﾄ,国内株式,株式,japan,1.0,0.0,0.0,True,False,False,False,False,none,0.143,4120.62,7.0,4,4,3,,30.99,64.18,28.98,17.22,,15.25,2.68,1.35,0.92,,18.98,20.19,18.97,,True,2026-05-08,high_risk|japan_centric|passive_index
JP90C000QAU8,楽天･ﾌﾟﾗｽ･日経225ｲﾝﾃﾞｯｸｽ･ﾌｧﾝﾄﾞ,楽天・プラス・日経２２５,楽天,国内株式,株式,japan,1.0,0.0,0.0,True,False,False,False,False,none,0.132,797.33,1.5,4,,,,30.91,64.09,,,,29.36,2.68,,,,18.95,,,,True,2026-05-08,japan_centric|medium_risk|passive_index
